category,image_id,q_id,q_type,question,ground_truth,gt_tier,gt_confidence,gt_source,use_for,is_augmented,source_image_id,weather,model,full_response,extracted_ans,correct,response_time
junctions,b84507e4-e4553a8d.jpg,JN_P_01_v2,perception,Can the driver see a traffic signal controlling this intersection?,no,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No.,no,True,4.9
junctions,b84507e4-e4553a8d.jpg,JN_P_01_v3,perception,Is there at least one traffic light that is visible to the ego vehicle?,no,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No.,no,True,0.7
junctions,b84507e4-e4553a8d.jpg,JN_P_01_v4,perception,Is there no traffic light visible to the ego vehicle at this junction?,yes,A,high,automatic,linguistic_variation,False,,clear,llava_ov,Yes.,yes,True,0.69
junctions,b84507e4-e4553a8d.jpg,JN_P_02_v2,perception,Can the driver see more than one traffic signal at this junction?,no,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No,no,True,0.64
junctions,b84507e4-e4553a8d.jpg,JN_P_02_v3,perception,Are multiple traffic lights visible from the ego vehicle's perspective?,no,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No.,no,True,0.71
junctions,b84507e4-e4553a8d.jpg,JN_P_02_v4,perception,Is only a single traffic light — or none — visible at this junction?,yes,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No,no,False,0.63
junctions,b84507e4-e4553a8d.jpg,JN_P_03_v2,perception,Can the driver spot any pedestrians at or near the intersection?,no,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No,no,True,0.63
junctions,b84507e4-e4553a8d.jpg,JN_P_03_v3,perception,Is at least one person on foot visible within or approaching this junction?,no,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No,no,True,0.63
junctions,b84507e4-e4553a8d.jpg,JN_P_03_v4,perception,Is this intersection free of any visible pedestrians?,yes,A,high,automatic,linguistic_variation,False,,clear,llava_ov,Yes,yes,True,0.63
junctions,b84507e4-e4553a8d.jpg,JN_P_05_v2,perception,Are road signs providing directional or regulatory information visible here?,yes,A,high,automatic,linguistic_variation,False,,clear,llava_ov,No,no,False,0.63
