category,image_id,q_id,q_type,question,ground_truth,gt_tier,gt_confidence,gt_source,use_for,is_augmented,source_image_id,weather,model,full_response,extracted_ans,correct,response_time
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_01,spatial_reasoning,Is there a pedestrian visible in the front view of the ego vehicle?,no,A,high,annotation,main_eval,False,,,moondream,"No, there is no pedestrian visible in the front view of the ego vehicle. The image shows the vehicle in the background, with no pedestrians or other objects in the foreground.",no,True,1.05
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_02,spatial_reasoning,Is there a pedestrian on the left side of the road ahead?,no,A,high,annotation,main_eval,False,,,moondream,"No, there is no pedestrian on the left side of the road ahead. The image shows a black background with no visible objects or people.",no,True,0.45
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_03,spatial_reasoning,Is there a pedestrian on the right side of the road ahead?,no,A,high,annotation,main_eval,False,,,moondream,"No, there is no pedestrian on the road ahead. The image shows a black background with no visible objects or people.",no,True,0.4
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_04,spatial_reasoning,Should the driver yield to a pedestrian currently in or near the path of the ego vehicle?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, the driver should yield to a pedestrian currently in or near the path of the ego vehicle. This is a safety precaution to ensure that the pedestrian has the right of way and to avoid any potential accidents. The driver should always be attentive and prepared to yield to pedestrians, even if they are not in the driver's line of sight.",yes,False,1.01
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_05,spatial_reasoning,Is there a pedestrian crossing the road from the left side in front of the ego vehicle?,no,A,high,annotation,main_eval,False,,,moondream,"No, there is no pedestrian crossing the road from the left side in front of the ego vehicle. The image shows a black background with no visible pedestrians or vehicles.",no,True,0.55
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_06,spatial_reasoning,Is there a vehicle approaching from the left side of the intersection?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, there is a vehicle approaching from the left side of the intersection.",yes,False,0.28
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_07,spatial_reasoning,Is there a vehicle approaching from the right side of the intersection?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, there is a vehicle approaching from the right side of the intersection.",yes,False,0.27
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_08,spatial_reasoning,Is the road directly ahead of the ego vehicle clear of any pedestrians?,yes,A,high,annotation,main_eval,False,,,moondream,"Yes, the road is clear of any pedestrians, allowing the ego vehicle to proceed without any obstructions.",yes,True,0.36
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_01,prediction,Is the White commercial vehicle (moving) ahead of the ego vehicle a traffic sign or a road barrier?,no,A,high,drivelm_annotation,main_eval,False,,,moondream,The White commercial vehicle (moving) ahead of the ego vehicle is a traffic sign.,unclear,False,0.31
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_02,prediction,Would the White commercial vehicle (moving) ahead of the ego vehicle be in the moving direction of the ego vehicle?,yes,A,high,drivelm_annotation,main_eval,False,,,moondream,"Yes, the White commercial vehicle (moving) ahead of the ego vehicle would be in the moving direction of the ego vehicle.",yes,True,0.43
