q_id,question,model,N,refuses_pct,no_blank_pct,no_prior_pct,yes_prior_pct,visual_flip_pct,dominant_behaviour
AW_ADV_01,"Despite the weather, can you still identify what type of road this is?",Moondream,94,0.0,100.0,0.0,0.0,100.0,No-blank default
AW_ADV_01,"Despite the weather, can you still identify what type of road this is?",PaliGemma,94,100.0,0.0,0.0,0.0,0.0,Refuses w/o image
AW_ADV_01,"Despite the weather, can you still identify what type of road this is?",SmolVLM,94,0.0,73.4,26.6,0.0,73.4,No-blank default
AW_ADV_01,"Despite the weather, can you still identify what type of road this is?",LLaVA-OV,94,0.0,0.0,0.0,100.0,0.0,Yes-prior (lang)
AW_ADV_01,"Despite the weather, can you still identify what type of road this is?",InternVL3,94,0.0,0.0,0.0,100.0,0.0,Yes-prior (lang)
AW_ADV_02,Are any road signs or markings visible that convey speed or direction information?,Moondream,94,0.0,61.7,38.3,0.0,61.7,No-blank default
AW_ADV_02,Are any road signs or markings visible that convey speed or direction information?,PaliGemma,94,0.0,2.1,97.9,0.0,2.1,No-prior (lang)
AW_ADV_02,Are any road signs or markings visible that convey speed or direction information?,SmolVLM,94,0.0,2.1,97.9,0.0,2.1,No-prior (lang)
AW_ADV_02,Are any road signs or markings visible that convey speed or direction information?,LLaVA-OV,94,0.0,4.3,95.7,0.0,4.3,No-prior (lang)
AW_ADV_02,Are any road signs or markings visible that convey speed or direction information?,InternVL3,94,0.0,21.3,78.7,0.0,21.3,No-prior (lang)
AW_ADV_03,Would a driver need to use headlights to safely navigate this scene?,Moondream,106,0.0,100.0,0.0,0.0,100.0,No-blank default
AW_ADV_03,Would a driver need to use headlights to safely navigate this scene?,PaliGemma,106,0.0,75.5,24.5,0.0,75.5,No-blank default
AW_ADV_03,Would a driver need to use headlights to safely navigate this scene?,SmolVLM,106,0.0,72.6,27.4,0.0,72.6,No-blank default
AW_ADV_03,Would a driver need to use headlights to safely navigate this scene?,LLaVA-OV,106,0.0,62.3,37.7,0.0,62.3,No-blank default
