category,image_id,q_id,q_type,question,ground_truth,weather,model,mode,use_for,variation_type,source_q_id,full_response,extracted_ans,correct,response_time
junctions,b4aa2f44-023fb7df.jpg,JN_P_01,perception,Are there two or more traffic lights visible in this scene?,no,,llava_ov,C,phase2_mode_a,original,JN_P_01,"No, the presence of multiple traffic lights cannot be determined without seeing an image.",no,1,1.51
junctions,b4aa2f44-023fb7df.jpg,JN_A_01,action,Should the ego vehicle stop before entering this intersection?,no,,llava_ov,C,phase2_mode_a,original,JN_A_01,"No, the question cannot be answered without seeing an image as it requires visual information about the intersection and the surrounding environment to determine if the ego vehicle should stop.",no,1,1.89
junctions,b4aa2f44-023fb7df.jpg,JN_A_04,action,Should the driver be prepared to brake suddenly at this junction?,no,,llava_ov,C,phase2_mode_a,original,JN_A_04,"Yes, the driver should always be prepared to brake suddenly at any junction as it can be unpredictable and dangerous.",yes,0,1.35
junctions,b4aa2f44-023fb7df.jpg,JN_H_01,hazard,Is there a risk of a pedestrian stepping into the path of the ego vehicle?,no,,llava_ov,C,phase2_mode_a,original,JN_H_01,"No, the question cannot be answered without seeing an image as it requires visual information to determine if there is a pedestrian in the path of the ego vehicle.",no,1,1.69
junctions,b4aa2f44-023fb7df.jpg,JN_H_02,hazard,Could a large vehicle such as a bus or truck obstruct the driver's sightline at this junction?,yes,,llava_ov,C,phase2_mode_a,original,JN_H_02,"No, the question cannot be answered without seeing an image because it requires visual information to determine if a large vehicle could obstruct the driver's sightline at the junction.",no,0,1.74
junctions,b4aa2f44-023fb7df.jpg,JN_ADV_01,adversarial,Is the traffic light currently displaying a green signal that permits the ego vehicle to proceed?,yes,,llava_ov,C,phase2_mode_a,original,JN_ADV_01,"No, the question cannot be answered without seeing an image as it requires visual information about the traffic light's current display.",no,0,1.31
junctions,b4aa2f44-023fb7df.jpg,JN_ADV_02,adversarial,"Is the traffic light currently displaying red or yellow, requiring the ego vehicle to stop or yield?",no,,llava_ov,C,phase2_mode_a,original,JN_ADV_02,"No, the question cannot be answered without seeing an image as it requires visual information about the traffic light's color.",no,1,1.27
junctions,b4aa2f44-023fb7df.jpg,JN_ADV_03,adversarial,Is there a vehicle currently occupying the centre of the intersection ahead?,no,,llava_ov,C,phase2_mode_a,original,JN_ADV_03,"No, the presence of a vehicle cannot be determined without visual information.",no,1,0.81
junctions,b4aa2f44-023fb7df.jpg,JN_P_01_v2,perception,Can the driver see a traffic signal controlling this intersection?,no,,llava_ov,C,phase2_linguistic,paraphrase,JN_P_01,"No, the question cannot be answered without seeing an image as it requires visual information to determine if there is a traffic signal at the intersection.",no,1,1.48
junctions,b4aa2f44-023fb7df.jpg,JN_P_01_v3,perception,Is there at least one traffic light that is visible to the ego vehicle?,no,,llava_ov,C,phase2_linguistic,negated,JN_P_01,"No, the answer cannot be determined without seeing an image as it requires visual information to identify the presence of a traffic light.",no,1,1.34
junctions,b4aa2f44-023fb7df.jpg,JN_A_01_v2,action,Should the driver reduce speed when approaching this junction?,no,,llava_ov,C,phase2_linguistic,paraphrase,JN_A_01,"No, the question cannot be answered without seeing an image as it requires visual information about the junction to determine if the driver should reduce speed.",no,1,1.48
junctions,b4aa2f44-023fb7df.jpg,JN_A_01_v3,action,Is slowing down the appropriate action for a driver entering this intersection?,no,,llava_ov,C,phase2_linguistic,negated,JN_A_01,"No, the question cannot be answered without seeing an image as it requires visual information to determine if the driver is appropriately positioned and if there are any traffic signals or signs that need to be obeyed.",no,1,2.06
junctions,b4aa2f44-023fb7df.jpg,JN_A_04_v2,action,Should the driver use the horn to alert others when passing through this junction?,no,,llava_ov,C,phase2_linguistic,paraphrase,JN_A_04,"No, the question cannot be answered without seeing an image as it requires visual information about the junction and its surroundings to determine if using the horn would be appropriate.",no,1,1.68
