category,image_id,q_id,q_type,question,ground_truth,gt_tier,gt_confidence,gt_source,use_for,is_augmented,source_image_id,weather,model,full_response,extracted_ans,correct,response_time
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_01,spatial_reasoning,Is there a pedestrian visible in the front view of the ego vehicle?,no,A,high,annotation,main_eval,False,,,paligemma,no,no,True,0.83
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_02,spatial_reasoning,Is there a pedestrian on the left side of the road ahead?,no,A,high,annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.14
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_03,spatial_reasoning,Is there a pedestrian on the right side of the road ahead?,no,A,high,annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.14
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_04,spatial_reasoning,Should the driver yield to a pedestrian currently in or near the path of the ego vehicle?,no,A,high,annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_05,spatial_reasoning,Is there a pedestrian crossing the road from the left side in front of the ego vehicle?,no,A,high,annotation,main_eval,False,,,paligemma,no,no,True,0.08
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_06,spatial_reasoning,Is there a vehicle approaching from the left side of the intersection?,no,A,high,annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_07,spatial_reasoning,Is there a vehicle approaching from the right side of the intersection?,no,A,high,annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_08,spatial_reasoning,Is the road directly ahead of the ego vehicle clear of any pedestrians?,yes,A,high,annotation,main_eval,False,,,paligemma,yes,yes,True,0.08
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_01,prediction,Is the White commercial vehicle (moving) ahead of the ego vehicle a traffic sign or a road barrier?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_02,prediction,Would the White commercial vehicle (moving) ahead of the ego vehicle be in the moving direction of the ego vehicle?,yes,A,high,drivelm_annotation,main_eval,False,,,paligemma,no,no,False,0.08
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_03,prediction,Is the Silver gray business car (moving) ahead of the ego vehicle a traffic sign or a road barrier?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_04,prediction,Would the Silver gray business car (moving) ahead of the ego vehicle be in the moving direction of the ego vehicle?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,no,no,True,0.08
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_05,prediction,Is the Black small car (moving) behind of the ego vehicle a traffic sign or a road barrier?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_06,prediction,Would the Black small car (moving) behind of the ego vehicle be in the moving direction of the ego vehicle?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,no,no,True,0.08
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_07,prediction,Will the Black small car (moving) behind of the ego vehicle be in the moving direction of the Silver gray business car (moving) ahead of the ego vehicle?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_08,prediction,Will the Black small car (moving) behind of the ego vehicle change its motion state based on the Silver gray business car (moving) ahead of the ego vehicle?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_09,prediction,Will the White commercial vehicle (moving) ahead of the ego vehicle be in the moving direction of the Silver gray business car (moving) ahead of the ego vehicle?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_10,prediction,Will the White commercial vehicle (moving) ahead of the ego vehicle change its motion state based on the Silver gray business car (moving) ahead of the ego vehicle?,yes,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.13
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PLAN_01,planning,Is the White commercial vehicle (moving) ahead of the ego vehicle an object that the ego vehicle should consider in the current scene?,yes,A,high,drivelm_annotation,main_eval,False,,,paligemma,no,no,False,0.08
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PLAN_02,planning,Is the Silver gray business car (moving) ahead of the ego vehicle an object that the ego vehicle should consider in the current scene?,yes,A,high,drivelm_annotation,main_eval,False,,,paligemma,no,no,False,0.08
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PLAN_03,planning,Is the Black small car (moving) behind of the ego vehicle an object that the ego vehicle should consider in the current scene?,no,A,high,drivelm_annotation,main_eval,False,,,paligemma,unanswerable,unclear,False,0.14
