q_id,q_type,question,model,N,refuses_pct,no_blank_pct,yes_blank_pct,no_prior_pct,yes_prior_pct,image_dependent_pct,lang_prior_pct,img_dep_acc_pct,dominant_behaviour
AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",Moondream,94,0.0,100.0,0.0,0.0,0.0,100.0,0.0,83.0,Image-dependent
AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",PaliGemma,94,100.0,0.0,0.0,0.0,0.0,100.0,0.0,28.7,Refuses w/o image
AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",SmolVLM,94,0.0,73.4,0.0,26.6,0.0,73.4,26.6,82.6,Image-dependent
AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",LLaVA-OV,94,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,Yes-prior (text)
AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",InternVL3,94,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,Yes-prior (text)
AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,Moondream,94,0.0,61.7,0.0,38.3,0.0,61.7,38.3,34.5,Image-dependent
AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,PaliGemma,94,0.0,2.1,0.0,97.9,0.0,2.1,97.9,50.0,No-prior (text)
AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,SmolVLM,94,0.0,2.1,0.0,97.9,0.0,2.1,97.9,0.0,No-prior (text)
AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,LLaVA-OV,94,0.0,4.3,0.0,95.7,0.0,4.3,95.7,0.0,No-prior (text)
AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,InternVL3,94,0.0,21.3,0.0,78.7,0.0,21.3,78.7,60.0,No-prior (text)
AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,Moondream,106,0.0,100.0,0.0,0.0,0.0,100.0,0.0,46.2,Image-dependent
AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,PaliGemma,106,0.0,75.5,0.0,24.5,0.0,75.5,24.5,60.0,Image-dependent
AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,SmolVLM,106,0.0,72.6,0.0,27.4,0.0,72.6,27.4,61.0,Image-dependent
AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,LLaVA-OV,106,0.0,62.3,0.0,37.7,0.0,62.3,37.7,71.2,Image-dependent
AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,InternVL3,106,0.0,0.0,27.4,0.0,72.6,27.4,72.6,93.1,Yes-prior (text)
AW_ADV_04,adversarial,Is there enough visual information to safely navigate an unfamiliar junction here?,Moondream,50,0.0,8.0,0.0,34.0,0.0,8.0,34.0,0.0,Mixed
AW_ADV_04,adversarial,Is there enough visual information to safely navigate an unfamiliar junction here?,PaliGemma,50,0.0,62.0,0.0,38.0,0.0,62.0,38.0,29.0,Image-dependent
AW_ADV_04,adversarial,Is there enough visual information to safely navigate an unfamiliar junction here?,SmolVLM,50,0.0,6.0,0.0,94.0,0.0,6.0,94.0,100.0,No-prior (text)
AW_ADV_04,adversarial,Is there enough visual information to safely navigate an unfamiliar junction here?,LLaVA-OV,50,0.0,2.0,0.0,98.0,0.0,2.0,98.0,100.0,No-prior (text)
AW_ADV_04,adversarial,Is there enough visual information to safely navigate an unfamiliar junction here?,InternVL3,50,0.0,54.0,0.0,46.0,0.0,54.0,46.0,29.6,Image-dependent
AW_A_01,action,Should the driver turn on their headlights right now?,Moondream,106,0.0,98.1,0.0,0.0,0.0,98.1,0.0,46.2,Image-dependent
AW_A_01,action,Should the driver turn on their headlights right now?,PaliGemma,106,100.0,0.0,0.0,0.0,0.0,100.0,0.0,65.1,Refuses w/o image
AW_A_01,action,Should the driver turn on their headlights right now?,SmolVLM,106,0.0,52.8,0.0,47.2,0.0,52.8,47.2,69.6,Image-dependent
AW_A_01,action,Should the driver turn on their headlights right now?,LLaVA-OV,106,0.0,0.0,23.6,0.0,76.4,23.6,76.4,96.0,Yes-prior (text)
