category,image_id,q_id,q_type,question,ground_truth,weather,model,mode,use_for,variation_type,source_q_id,full_response,extracted_ans,correct,response_time
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,no,rainy,llava_ov,C,phase2_mode_a,original,AW_A_02,"Yes, the question can be answered without seeing an image by considering factors such as weather, road conditions, and traffic.",yes,0,3.78
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03,action,Should the driver use windscreen wipers right now?,yes,rainy,llava_ov,C,phase2_mode_a,original,AW_A_03,"Yes, the question can be answered without seeing an image by considering the weather conditions and visibility.",yes,1,1.2
adverse_weather,beeed9e7-d279d8ee.jpg,AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,no,rainy,llava_ov,C,phase2_mode_a,original,AW_H_06,"No, the presence of glare from headlights or wet road reflections cannot be determined without seeing an image.",no,1,1.15
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",yes,rainy,llava_ov,C,phase2_mode_a,original,AW_ADV_01,"No, the answer cannot be determined without seeing an image as the type of road and its condition depend on visual information.",no,0,1.31
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,yes,rainy,llava_ov,C,phase2_mode_a,original,AW_ADV_02,"No, the absence of an image means there is no visual data to analyze for road signs or markings.",no,0,1.17
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,no,rainy,llava_ov,C,phase2_mode_a,original,AW_ADV_03,"No, the question cannot be answered without seeing an image as it requires visual information about the lighting conditions and visibility of the scene.",no,1,1.41
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03_v2,adversarial,Is it dark or visibility-reduced enough that headlights are necessary here?,no,rainy,llava_ov,C,phase2_linguistic,paraphrase,AW_ADV_03,"No, the question cannot be answered without seeing an image as it requires visual information to determine if it is dark or visibility-reduced enough for headlights to be necessary.",no,1,1.74
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03_v3,adversarial,Could a driver safely navigate this scene without turning on their headlights?,yes,rainy,llava_ov,C,phase2_linguistic,negated,AW_ADV_03,"Yes, the question can be answered without seeing an image because it is based on general knowledge of driving conditions and safety practices.",yes,1,1.36
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03_v2,action,Are windscreen wipers needed given the weather shown in this image?,yes,rainy,llava_ov,C,phase2_linguistic,paraphrase,AW_A_03,"No, this question cannot be answered without seeing an image as it requires visual information about the weather conditions to determine if windscreen wipers are needed.",no,0,1.61
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03_v3,action,Is the weather dry enough that wipers would not be needed?,no,rainy,llava_ov,C,phase2_linguistic,negated,AW_A_03,"Yes, the question can be answered without seeing an image by observing the current weather conditions and determining if it is dry enough to not require the use of wipers.",yes,0,1.74
