category,image_id,q_id,q_type,question,ground_truth,gt_tier,gt_confidence,gt_source,use_for,is_augmented,source_image_id,weather,model,full_response,extracted_ans,correct,response_time
junctions,b84507e4-e4553a8d.jpg,JN_BASE_01,baseline,Is a traffic light visible in this scene?,yes,A,high,automatic,baseline_only,False,,clear,internvl3,Yes.,yes,True,2.18
junctions,b84507e4-e4553a8d.jpg,JN_BASE_02,baseline,Is this scene located at an intersection or junction?,yes,A,high,automatic,baseline_only,False,,clear,internvl3,No.,no,False,0.29
junctions,b84507e4-e4553a8d.jpg,JN_P_01,perception,Are there two or more traffic lights visible in this scene?,no,A,high,automatic,main_eval,False,,clear,internvl3,yes,yes,False,0.23
junctions,b84507e4-e4553a8d.jpg,JN_P_02,perception,Is at least one pedestrian visible in or near the intersection?,no,A,high,automatic,main_eval,False,,clear,internvl3,No.,no,True,0.29
junctions,b84507e4-e4553a8d.jpg,JN_P_03,perception,Is there a vehicle larger than a standard car — such as a bus or truck — visible at this junction?,no,A,high,automatic,main_eval,False,,clear,internvl3,No.,no,True,0.29
junctions,b84507e4-e4553a8d.jpg,JN_P_05,perception,Are road signs visible at this junction?,yes,A,high,automatic,main_eval,False,,clear,internvl3,Yes.,yes,True,0.32
junctions,b84507e4-e4553a8d.jpg,JN_P_07,perception,Is this junction scene captured during daytime?,no,A,high,automatic,main_eval,False,,clear,internvl3,No.,no,True,0.28
junctions,b84507e4-e4553a8d.jpg,JN_P_08,perception,Is any pedestrian visible who appears to be actively crossing the road?,no,B,medium,automatic,main_eval,False,,clear,internvl3,No.,no,True,0.29
junctions,b84507e4-e4553a8d.jpg,JN_A_01,action,Should the ego vehicle stop before entering this intersection?,yes,A,high,automatic,main_eval,False,,clear,internvl3,Yes.,yes,True,0.29
junctions,b84507e4-e4553a8d.jpg,JN_A_02,action,Should the driver yield to pedestrians before proceeding through this junction?,no,A,high,automatic,main_eval,False,,clear,internvl3,Yes.,yes,False,0.29
