category,image_id,q_id,q_type,question,ground_truth,model,full_response,extracted_ans,correct,response_time
negation_bias,b1c66a42-6f7d68ca.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,1.2
negation_bias,b1c66a42-6f7d68ca.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,No.,no,True,0.6
negation_bias,b1c66a42-6f7d68ca.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No.,no,True,0.6
negation_bias,b1c66a42-6f7d68ca.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.56
negation_bias,b1c66a42-6f7d68ca.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.56
negation_bias,b1c66a42-6f7d68ca.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,Yes.,yes,False,0.6
negation_bias,b1c81faa-3df17267.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No,no,True,0.56
negation_bias,b1c81faa-3df17267.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,No.,no,True,0.61
negation_bias,b1c81faa-3df17267.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.57
negation_bias,b1c81faa-3df17267.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.58
negation_bias,b1c81faa-3df17267.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.57
negation_bias,b1c81faa-3df17267.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,Yes.,yes,False,0.62
negation_bias,b1ca2e5d-84cf9134.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.65
negation_bias,b1ca2e5d-84cf9134.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.66
negation_bias,b1ca2e5d-84cf9134.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No.,no,True,0.65
negation_bias,b1ca2e5d-84cf9134.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,No,no,True,0.6
negation_bias,b1ca2e5d-84cf9134.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.6
negation_bias,b1ca2e5d-84cf9134.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No.,no,True,0.66
negation_bias,b1ca8418-84a133a0.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.65
negation_bias,b1ca8418-84a133a0.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,No.,no,True,0.66
negation_bias,b1ca8418-84a133a0.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.58
negation_bias,b1ca8418-84a133a0.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,No,no,True,0.56
negation_bias,b1ca8418-84a133a0.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.57
negation_bias,b1ca8418-84a133a0.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No.,no,True,0.65
negation_bias,b1cd1e94-26dd524f.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.65
negation_bias,b1cd1e94-26dd524f.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.65
negation_bias,b1cd1e94-26dd524f.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.59
negation_bias,b1cd1e94-26dd524f.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1cd1e94-26dd524f.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.57
negation_bias,b1cd1e94-26dd524f.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No.,no,True,0.6
negation_bias,b1cd1e94-549d0bfe.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1cd1e94-549d0bfe.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1cd1e94-549d0bfe.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1cd1e94-549d0bfe.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1cd1e94-549d0bfe.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,Yes,yes,False,0.56
negation_bias,b1cd1e94-549d0bfe.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1ceb32e-51852abe.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1ceb32e-51852abe.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.6
negation_bias,b1ceb32e-51852abe.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No.,no,True,0.61
negation_bias,b1ceb32e-51852abe.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1ceb32e-51852abe.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1ceb32e-51852abe.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No,no,True,0.58
negation_bias,b1ceb32e-a106591d.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,Yes.,yes,False,0.62
negation_bias,b1ceb32e-a106591d.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.62
negation_bias,b1ceb32e-a106591d.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,Yes.,yes,False,0.63
negation_bias,b1ceb32e-a106591d.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1ceb32e-a106591d.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1ceb32e-a106591d.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1d0a191-03dcecc2.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.61
negation_bias,b1d0a191-03dcecc2.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,No.,no,True,0.63
negation_bias,b1d0a191-03dcecc2.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No.,no,True,0.63
negation_bias,b1d0a191-03dcecc2.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,No,no,True,0.58
negation_bias,b1d0a191-03dcecc2.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.58
negation_bias,b1d0a191-03dcecc2.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No.,no,True,0.62
negation_bias,b1d0a191-2ed2269e.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No,no,True,0.57
negation_bias,b1d0a191-2ed2269e.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1d0a191-2ed2269e.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.57
negation_bias,b1d0a191-2ed2269e.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,No,no,True,0.56
negation_bias,b1d0a191-2ed2269e.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.58
negation_bias,b1d0a191-2ed2269e.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No.,no,True,0.63
negation_bias,b1d0a191-5490450b.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No,no,True,0.57
negation_bias,b1d0a191-5490450b.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,No.,no,True,0.62
negation_bias,b1d0a191-5490450b.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.58
negation_bias,b1d0a191-5490450b.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,No,no,True,0.58
negation_bias,b1d0a191-5490450b.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.59
negation_bias,b1d0a191-5490450b.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No.,no,True,0.62
negation_bias,b1d0a191-65deaeef.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.63
negation_bias,b1d0a191-65deaeef.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.62
negation_bias,b1d0a191-65deaeef.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.57
negation_bias,b1d0a191-65deaeef.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,No,no,True,0.58
negation_bias,b1d0a191-65deaeef.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.58
negation_bias,b1d0a191-65deaeef.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,Yes.,yes,False,0.63
negation_bias,b1d0a191-de8948f6.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.63
negation_bias,b1d0a191-de8948f6.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,No.,no,True,0.62
negation_bias,b1d0a191-de8948f6.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.57
negation_bias,b1d0a191-de8948f6.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1d0a191-de8948f6.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.57
negation_bias,b1d0a191-de8948f6.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,No,no,True,0.57
negation_bias,b1d10d08-5b108225.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.61
negation_bias,b1d10d08-5b108225.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1d10d08-5b108225.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No.,no,True,0.65
negation_bias,b1d10d08-5b108225.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.6
negation_bias,b1d10d08-5b108225.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,No,no,True,0.59
negation_bias,b1d10d08-5b108225.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,Yes.,yes,False,0.66
negation_bias,b1d10d08-743fd86c.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.62
negation_bias,b1d10d08-743fd86c.jpg,NB_TL_02,yes/no,Is there no traffic light visible to the ego vehicle?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1d10d08-743fd86c.jpg,NB_TL_03,yes/no,Does this road lack any traffic signal control?,no,llava_ov,No,no,True,0.57
negation_bias,b1d10d08-743fd86c.jpg,NB_TL_04,yes/no,Is this junction free of any overhead signals?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1d10d08-743fd86c.jpg,NB_TL_05,yes/no,Is the intersection being managed without any lights?,no,llava_ov,Yes,yes,False,0.57
negation_bias,b1d10d08-743fd86c.jpg,NB_TL_06,yes/no,Would a driver need to proceed without signal guidance here?,no,llava_ov,Yes.,yes,False,0.61
negation_bias,b1d10d08-c35503b8.jpg,NB_TL_01,yes/no,Is a traffic signal absent from this scene?,no,llava_ov,No.,no,True,0.61
