category,image_id,q_id,q_type,question,ground_truth,weather,model,mode,use_for,variation_type,source_q_id,full_response,extracted_ans,correct,response_time
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,no,rainy,internvl3,A,phase2_mode_a,original,AW_A_02,"Yes, the driver should slow down below the speed limit. The road is wet, which can reduce traction and increase stopping distance. Additionally, there are other vehicles on the road, suggesting potential traffic conditions that require more caution.",yes,0,4.16
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03,action,Should the driver use windscreen wipers right now?,yes,rainy,internvl3,A,phase2_mode_a,original,AW_A_03,"Yes, the driver should use windscreen wipers right now because there are visible raindrops on the windshield, indicating it is raining.",yes,1,1.47
adverse_weather,beeed9e7-d279d8ee.jpg,AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,no,rainy,internvl3,A,phase2_mode_a,original,AW_H_06,"Yes, there is a risk of glare from wet road reflections in this scene. 

The road is wet, which means that headlights from oncoming vehicles could reflect off the wet surface, creating glare. Additionally, the overcast sky suggests low light conditions, increasing the likelihood that headlights would be on and contribute to glare.",yes,0,3.12
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",yes,rainy,internvl3,A,phase2_mode_a,original,AW_ADV_01,"Yes, this is a two-way road. The image shows a road with two lanes in each direction, separated by double yellow lines, indicating it is designed for traffic in both directions.",yes,1,1.86
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,yes,rainy,internvl3,A,phase2_mode_a,original,AW_ADV_02,"Yes, there is a ""No Stopping Anytime"" sign visible, which conveys direction information about parking regulations.",yes,1,1.27
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,no,rainy,internvl3,A,phase2_mode_a,original,AW_ADV_03,"Yes, a driver would need to use headlights to safely navigate this scene. The road appears to be wet, likely from rain, which reduces visibility. Using headlights would help the driver see the road and any obstacles or other vehicles more clearly.",yes,0,2.37
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03_v2,adversarial,Is it dark or visibility-reduced enough that headlights are necessary here?,no,rainy,internvl3,A,phase2_linguistic,paraphrase,AW_ADV_03,"No, it is not dark or visibility-reduced enough that headlights are necessary. The scene is well-lit, and the road is visible.",no,1,1.51
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03_v3,adversarial,Could a driver safely navigate this scene without turning on their headlights?,yes,rainy,internvl3,A,phase2_linguistic,negated,AW_ADV_03,"Yes, because the road is wet, which increases visibility, and there are other vehicles on the road, suggesting it is daytime.",yes,1,1.36
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03_v2,action,Are windscreen wipers needed given the weather shown in this image?,yes,rainy,internvl3,A,phase2_linguistic,paraphrase,AW_A_03,"Yes, windscreen wipers are needed. The image shows raindrops on the windshield, indicating wet weather conditions.",yes,1,1.23
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03_v3,action,Is the weather dry enough that wipers would not be needed?,no,rainy,internvl3,A,phase2_linguistic,negated,AW_A_03,"No, the weather is not dry enough that wipers would not be needed. 

Reasoning: The image shows raindrops on the windshield, indicating that it is raining, which requires the use of windshield wipers.",no,1,2.19
adverse_weather,beeed9e7-d279d8ee.jpg,AW_H_06_v2,hazard,Could light reflections off the wet road surface cause visual impairment for the driver?,no,rainy,internvl3,A,phase2_linguistic,paraphrase,AW_H_06,"Yes, light reflections off the wet road surface could cause visual impairment for the driver, as the wet road can create glare and make it harder to see the road and other vehicles clearly.",yes,0,1.97
adverse_weather,beeed9e7-d279d8ee.jpg,AW_H_06_v3,hazard,Is there no risk of glare from headlights or reflections in this scene?,yes,rainy,internvl3,A,phase2_linguistic,negated,AW_H_06,"No, there is a risk of glare from headlights or reflections. The road is wet, which can cause reflections and potentially glare from oncoming headlights.",no,0,1.57
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_01_v2,adversarial,Can the type of road be identified from this image despite the weather conditions?,yes,rainy,internvl3,A,phase2_linguistic,paraphrase,AW_ADV_01,"Yes, the road can be identified as a two-lane street with double yellow lines, indicating it is likely a two-way road. The presence of vehicles and road signs also support this identification.",yes,1,1.98
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_01_v3,adversarial,Are weather conditions severe enough to make road type identification impossible?,no,rainy,internvl3,A,phase2_linguistic,negated,AW_ADV_01,"No, the road type is identifiable as a two-lane street with double yellow lines and a shoulder. The weather is rainy, but the road type is still clear.",no,1,1.77
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_02_v2,adversarial,Are there any traffic signs or road markings that convey useful information here?,yes,rainy,internvl3,A,phase2_linguistic,paraphrase,AW_ADV_02,"Yes, there is a traffic sign and road markings. The sign indicates a potential hazard or regulation, and the double yellow lines in the center of the road indicate a no-passing zone.",yes,1,1.94
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_02_v3,adversarial,Are road signs and markings too obscured to provide speed or direction guidance?,no,rainy,internvl3,A,phase2_linguistic,negated,AW_ADV_02,"Yes, the road signs and markings are somewhat obscured by the rain and reflections, which can make it harder to provide clear speed or direction guidance.",yes,0,1.52
