category,image_id,q_id,q_type,question,ground_truth,weather,model,mode,use_for,variation_type,source_q_id,full_response,extracted_ans,correct,response_time
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,no,rainy,internvl3,C,phase2_mode_a,original,AW_A_02,No.,no,1,0.81
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03,action,Should the driver use windscreen wipers right now?,yes,rainy,internvl3,C,phase2_mode_a,original,AW_A_03,"No, this question cannot be answered without seeing an image.",no,0,0.79
adverse_weather,beeed9e7-d279d8ee.jpg,AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,no,rainy,internvl3,C,phase2_mode_a,original,AW_H_06,No.,no,1,0.27
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_01,adversarial,"Despite the weather, can you still identify what type of road this is?",yes,rainy,internvl3,C,phase2_mode_a,original,AW_ADV_01,No.,no,0,0.27
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_02,adversarial,Are any road signs or markings visible that convey speed or direction information?,yes,rainy,internvl3,C,phase2_mode_a,original,AW_ADV_02,No.,no,0,0.27
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03,adversarial,Would a driver need to use headlights to safely navigate this scene?,no,rainy,internvl3,C,phase2_mode_a,original,AW_ADV_03,Yes.,yes,0,0.27
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03_v2,adversarial,Is it dark or visibility-reduced enough that headlights are necessary here?,no,rainy,internvl3,C,phase2_linguistic,paraphrase,AW_ADV_03,Yes.,yes,0,0.26
adverse_weather,beeed9e7-d279d8ee.jpg,AW_ADV_03_v3,adversarial,Could a driver safely navigate this scene without turning on their headlights?,yes,rainy,internvl3,C,phase2_linguistic,negated,AW_ADV_03,"No, this question cannot be answered without seeing an image.",no,0,0.78
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03_v2,action,Are windscreen wipers needed given the weather shown in this image?,yes,rainy,internvl3,C,phase2_linguistic,paraphrase,AW_A_03,No.,no,0,0.27
adverse_weather,beeed9e7-d279d8ee.jpg,AW_A_03_v3,action,Is the weather dry enough that wipers would not be needed?,no,rainy,internvl3,C,phase2_linguistic,negated,AW_A_03,"No, this question cannot be answered without seeing an image.",no,1,0.79
adverse_weather,beeed9e7-d279d8ee.jpg,AW_H_06_v2,hazard,Could light reflections off the wet road surface cause visual impairment for the driver?,no,rainy,internvl3,C,phase2_linguistic,paraphrase,AW_H_06,Yes.,yes,0,0.27
adverse_weather,beeed9e7-d279d8ee.jpg,AW_H_06_v3,hazard,Is there no risk of glare from headlights or reflections in this scene?,yes,rainy,internvl3,C,phase2_linguistic,negated,AW_H_06,No.,no,0,0.27
