category,image_id,q_id,q_type,question,ground_truth,gt_tier,gt_confidence,gt_source,use_for,is_augmented,source_image_id,weather,model,full_response,extracted_ans,correct,response_time
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_01,spatial_reasoning,Is there a pedestrian visible in the front view of the ego vehicle?,no,A,high,annotation,main_eval,False,,,moondream,"No, there is no pedestrian visible in the front view of the ego vehicle.",no,True,3.22
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_02,spatial_reasoning,Is there a pedestrian on the left side of the road ahead?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, there is a pedestrian on the left side of the road ahead.",yes,False,0.42
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_03,spatial_reasoning,Is there a pedestrian on the right side of the road ahead?,no,A,high,annotation,main_eval,False,,,moondream,"No, there is no pedestrian on the right side of the road ahead. The image shows a car and a bus driving down the road, with no pedestrians visible.",no,True,0.78
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_04,spatial_reasoning,Should the driver yield to a pedestrian currently in or near the path of the ego vehicle?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, the driver should yield to the pedestrian currently in or near the path of the ego vehicle. In the image, there are multiple vehicles, including a bus and a car, driving down the street. The driver should be cautious and attentive to the presence of pedestrians, ensuring their safety by yielding to them when necessary. This is particularly important in areas with limited visibility or at night, as the driver may not be able to see the pedestrian clearly. Yielding to pedestrians helps maintain a safe and orderly flow of traffic and reduces the risk of accidents.",yes,False,2.31
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_05,spatial_reasoning,Is there a pedestrian crossing the road from the left side in front of the ego vehicle?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, there is a pedestrian crossing the road from the left side in front of the ego vehicle.",yes,False,0.52
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_06,spatial_reasoning,Is there a vehicle approaching from the left side of the intersection?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, there is a vehicle approaching from the left side of the intersection.",yes,False,0.41
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_07,spatial_reasoning,Is there a vehicle approaching from the right side of the intersection?,no,A,high,annotation,main_eval,False,,,moondream,"Yes, there is a vehicle approaching from the right side of the intersection.",yes,False,0.36
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_CF_08,spatial_reasoning,Is the road directly ahead of the ego vehicle clear of any pedestrians?,yes,A,high,annotation,main_eval,False,,,moondream,"Yes, the road is clear of any pedestrians, and the ego vehicle is driving down the road without any obstructions.",yes,True,0.45
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_01,prediction,Is the White commercial vehicle (moving) ahead of the ego vehicle a traffic sign or a road barrier?,no,A,high,drivelm_annotation,main_eval,False,,,moondream,The White commercial vehicle (van) is moving ahead of the ego vehicle (car) on the road.,unclear,False,0.41
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_02,prediction,Would the White commercial vehicle (moving) ahead of the ego vehicle be in the moving direction of the ego vehicle?,yes,A,high,drivelm_annotation,main_eval,False,,,moondream,"Yes, the White commercial vehicle (van) would be in the moving direction of the ego vehicle, as it is ahead of it on the road.",yes,True,0.53
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_03,prediction,Is the Silver gray business car (moving) ahead of the ego vehicle a traffic sign or a road barrier?,no,A,high,drivelm_annotation,main_eval,False,,,moondream,"The silver gray business car (moving) is ahead of the ego vehicle, which is a traffic sign.",unclear,False,0.39
nuscenes,4ddfec3c0eaa48eebec29444c5ab7e83_CAM_FRONT.jpg,NS_PRED_04,prediction,Would the Silver gray business car (moving) ahead of the ego vehicle be in the moving direction of the ego vehicle?,no,A,high,drivelm_annotation,main_eval,False,,,moondream,"Yes, the silver gray business car (moving) ahead of the ego vehicle would be in the moving direction of the ego vehicle.",yes,False,0.47
